COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808427106	"CAGLIERO Giorgio"	"Meccanica, macchine ed energia"	"Per Meccanica ed Energia"		"Volume 3 con risorse digitali Scuolabook"	3280	432	"197x265, 2012"
9788808320636	"CIABATTI Nello-DI CAPUA Umberto-DI COSTANZO Gennaro"	"L'arte dell'ospitalità"	"Laboratori di servizi enogastronomici - Settore sala e vendita"		"Volume primo biennio"	2340	336	", Clitt editore. Distribuzione esclusiva Zanichelli, 197x285, 2019"
9788808402936	"BAROZZI Graziella-BERGAMINI Massimo"	Matematica.in3passi			"Volume B"	1310	168	", , 197x265, 2017"
9788808456960	"BAROZZI Graziella-BERGAMINI Massimo"	Matematica.in3passi			"Volume A"	1310	168	", , 197x265, 2017"
9788808720931	"BAROZZI Graziella-BERGAMINI Massimo"	Matematica.in3passi			"Volume 1"	1060	160	", , 197x265, 2017"
9788808926784	"BAROZZI Graziella-BERGAMINI Massimo"	Matematica.in3passi			"Volume 2"	1060	144	", , 197x265, 2017"
9788808168221	"GALGANO Francesco-SBISÀ Giuseppe"	"ART. 2497-2497 septies"	"Direzione e coordinamento di società"	"Seconda edizione"	"Volume unico"	8370	424	"180x245, 2014"
9788808734891	"RODATO Silvano"	"Alimentazione & territorio"	"Scienza e cultura dell'alimentazione per i Servizi di Accoglienza turistica"		"Volume per il quinto anno"	1840	288	"Clitt editore. Distribuzione esclusiva Zanichelli, 195x285, 2012"
9788808621139	"BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina"	"Matematica in cucina, in sala, in albergo"			"Volume 1"	2510	480	", , 197x264, 2017"
9788808746856	"BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina"	"Matematica in cucina, in sala, in albergo"			"Volume 2"	2490	416	", , 197x265, 2017"
9788808263605	"BREEDLOVE S. Mark-WATSON Neil V."	"Il cervello e la mente"	"Le basi biologiche del comportamento"		"Volume unico"	5300	456	"Trad. di R. Lucchi, A. Poli, G. Zunica, 210x285, 2014"
9788808620439	"CERA Mario-DI VALENTIN Simona"	"Gli investimenti finanziari. Imprese e servizi"			"Volume unico"	2270	224	", , 170x240, 2020"
9788808820327	"CONTESSA Gian Marco-MARZO Giuseppe Augusto"	"Fisica applicata alle scienze mediche"			"Volume unico"	2600	224	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2019"
9788808084873	"GIUSTI Francesco-SANTOCHI Marco"	"Tecnologia meccanica"	"E studi di fabbricazione"	"Seconda edizione"	"Volume unico"	8450	688	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2000"
9788808434708	"AMALDI Ugo"	L'Amaldi.bianco	"Meccanica, Termodinamica, Elettromagnetismo, Onde"		"Volume unico"	1770	224	"210x285, 2014"
9788808534705	"AMALDI Ugo"	L'Amaldi.bianco	"Meccanica, Termodinamica, Elettromagnetismo, Onde"		"Volume unico"	2030	224	"210x285, 2014"
9788808920690	"COX Michael M-MELLONI Edon-NELSON David L"	"I principi di biochimica di Lehninger"		"Settima edizione"	"Volume unico + ebook"	16550	1280	", , 200x295, 2018"
9788808900616	"CUCCIOLI MELLONI Rita"	"Itinera compone"	"Versionario di latino"		Versionario	2340	456	"197x266, 2014"
9788808820990	"RONCHETTI Paolo"	"Lezioni di diritto ed economia"			"Volume unico"	2650	496	", , 210x285, 2017"
9788808220967	"CAPPA Stefano-DENES Gianfranco-GROSSI Dario-GUARIGLIA Cecilia-LUZZATTI Claudio Giuseppe-PIZZAMIGLIO Luigi"	"Manuale di neuropsicologia"	"Normalità e patologia dei processi cognitivi"	"Terza edizione"	"Volume unico + ebook"	13250	1264	", , 180x250, 2019"
9788808182173	"GUARNIERI Carlo-LIEBERMAN Michael-MARKS Allan"	"Marks biochimica medica"	"Un approccio clinico"	"Seconda edizione"	"Volume unico"	11600	1008	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 225x285, 2010"
9788808375537	"RONCHETTI Paolo"	"Diritto ed economia politica"		"quinta edizione"	"Volume 2"	2070	384	", , 197x285, 2022"
9788808494313	"RONCHETTI Paolo"	"Diritto ed economia politica"		"quinta edizione"	"Volume 1"	2080	384	", , 197x285, 2022"
9788808728913	"RONCHETTI Paolo"	"Diritto ed economia politica"		"quinta edizione"	"Volume 3"	2350	480	", , 197x285, 2022"
